campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,roas_calculated
548299,New User Discount,05/11/2024,Premium,App,3130,163,78,"£1,431.85","£4,777.75",3.6,3.336767119
390914,Weekend Special,05/11/2024,Inactive,App,3925,494,45,"£4,506.34","£6,238.11",2.98,1.384296347
834385,Festival Offer,05/11/2024,Inactive,Email,7012,370,78,"£4,524.23","£2,621.00",2.95,0.5793251006
241523,Flash Sale,05/11/2024,Inactive,SMS,1115,579,86,"£3,622.79","£2,955.00",2.84,0.815669691
595111,Membership Drive,05/11/2024,New Users,Email,7172,795,54,"£2,888.99","£8,951.81",2.22,3.098595011
176344,Category Promotion,05/11/2024,Inactive,App,4333,421,40,"£2,714.78","£6,697.88",3.89,2.467190712
875646,App Push Notification,05/11/2024,Premium,Email,4752,937,21,"£3,584.76","£9,152.99",2.14,2.553306219
5516,Email Campaign,05/11/2024,Premium,Social Media,1559,418,68,"£1,457.88","£2,156.09",3.92,1.478921448
989534,Referral Program,05/11/2024,New Users,SMS,3838,911,45,"£4,808.64","£8,074.17",1.7,1.679096377
243346,New User Discount,04/11/2024,Inactive,SMS,6289,834,14,"£3,746.35","£4,474.02",2.56,1.194234388
775791,Weekend Special,04/11/2024,Inactive,App,1068,496,87,"£1,043.70","£9,535.85",3.15,9.136581393
178345,Festival Offer,04/11/2024,Inactive,Social Media,4229,914,84,"£1,370.63","£3,521.16",1.65,2.569008412
60966,Flash Sale,04/11/2024,Inactive,App,2712,161,89,"£4,870.23","£2,626.78",2.03,0.5393544042
209071,Membership Drive,04/11/2024,New Users,Social Media,9365,753,53,"£3,817.01","£7,072.56",1.55,1.852905808
712164,Category Promotion,04/11/2024,All,App,4813,321,88,"£2,512.51","£6,494.09",2.55,2.58470215
301304,App Push Notification,04/11/2024,Inactive,Social Media,8840,466,24,"£1,776.92","£5,356.59",3.17,3.014536389
755362,Email Campaign,04/11/2024,Inactive,App,7409,949,99,"£1,599.21","£7,907.75",1.93,4.944785238
362255,Referral Program,04/11/2024,Premium,SMS,1997,599,92,"£3,328.47","£2,278.39",3.09,0.6845157084
538453,New User Discount,03/11/2024,New Users,Social Media,9594,692,58,"£3,712.46","£2,591.79",3.01,0.6981327745
146888,Weekend Special,03/11/2024,New Users,Email,8974,799,64,"£4,907.38","£9,623.97",2.36,1.961121821
36202,Festival Offer,03/11/2024,New Users,Email,7102,858,53,"£1,454.23","£8,523.27",2.87,5.861019234
232494,Flash Sale,03/11/2024,All,Social Media,9487,109,54,"£1,364.19","£5,855.87",1.61,4.292561887
757108,Membership Drive,03/11/2024,Inactive,Email,5922,258,41,"£1,815.23","£9,798.33",2.73,5.397844901
294530,Category Promotion,03/11/2024,All,App,4630,860,76,"£4,337.91","£3,326.76",1.86,0.7669038777
627085,App Push Notification,03/11/2024,All,Email,6291,130,66,"£4,644.01","£2,649.48",3.23,0.5705155674
954798,Email Campaign,03/11/2024,All,Email,6347,737,100,"£2,352.91","£5,816.29",3,2.471956003
675313,Referral Program,03/11/2024,New Users,Email,2465,560,60,"£4,857.36","£2,528.08",1.62,0.520463791
588949,New User Discount,02/11/2024,Premium,App,7171,211,22,"£3,120.88","£8,989.36",3.51,2.88039271
137874,Weekend Special,02/11/2024,All,App,6082,497,59,"£1,897.04","£3,654.10",1.95,1.926211361
674904,Festival Offer,02/11/2024,New Users,Social Media,3297,613,19,"£3,819.45","£2,007.51",3.75,0.5256018537
783220,Flash Sale,02/11/2024,Inactive,App,5550,633,12,"£1,947.14","£3,460.90",2.75,1.777427406
